DATE,Number of Days_Percip_>=.01,Number of Days_Percip_>=.10,Number of Days_Percip_>=1.0,Number of Days_Min <= 0,Number of Days_Min <= 32,Number of Days_Max <= 32,Number of Days_Max >= 70,Number of Days_Max >= 90,Lowest Temp,Highest Temp,Mean Temp,Total Precipitation
1950-01,10,6,0,8,31,23,0,0,-24.8,8,-8.79,31.1
1950-02,9,3,0,10,25,19,0,0,-21.9,8.8,-7.46,22.3
1950-03,8,4,0,0,17,0,0,0,-5.1,16.4,4.59,32.9
1950-04,2,1,0,0,0,0,19,0,1.7,27.5,15.03,4.9
1950-05,13,9,0,0,0,0,25,0,7.2,30.3,18.19,61.8
1950-06,9,5,0,0,0,0,25,3,8.4,33.9,20.73,34.3
1950-07,3,1,0,0,0,0,31,10,11.7,33.9,24.4,9.3
1950-08,3,0,0,0,0,0,31,11,8.4,38,24.72,4.3
1950-09,1,0,0,0,0,0,30,8,10.4,36,21.96,1.6
1950-10,11,6,0,0,0,0,7,0,0.4,29.8,13.52,48.7
1950-11,7,3,0,0,10,0,0,0,-7.1,20.9,6.76,17.1
1950-12,8,1,0,0,29,5,0,0,-7.6,6.7,-0.74,18.4
1951-01,6,3,0,0,31,11,0,0,-14.3,8,-1.74,21
1951-02,6,5,0,0,28,7,0,0,-15.4,6.7,-4.47,30.2
1951-03,3,0,0,0,11,0,5,0,-4.5,23.1,8.34,3.9
1951-04,12,5,0,0,0,0,8,0,3.9,26.8,14.37,53
1951-05,12,4,0,0,0,0,25,0,6.6,31.1,17.62,38.6
1951-06,9,6,0,0,0,0,29,2,10.9,33.4,22.11,34.4
1951-07,4,3,0,0,0,0,31,22,14.1,39.3,25.86,13.2
1951-08,3,1,0,0,0,0,31,19,14.2,37,25.92,9.3
1951-09,9,5,0,0,0,0,25,5,5.4,35.2,19.59,41.4
1951-10,17,11,0,0,0,0,1,0,0.2,23.9,9.98,85.1
1951-11,3,1,0,0,5,0,0,0,-1,18.1,7.77,8.6
1951-12,8,2,0,0,25,7,0,0,-11.7,11.1,-0.16,15.7
1952-01,7,2,0,0,31,12,0,0,-12.6,4.4,-2.89,10.3
1952-02,12,5,0,0,21,3,0,0,-8.2,11.6,1.64,35.3
1952-03,5,2,0,0,18,0,1,0,-6.2,23.2,5.53,11.1
1952-04,9,4,0,0,0,0,7,0,0.1,27.3,12.03,18.6
1952-05,9,5,0,0,0,0,22,0,3.3,31.5,17.21,57.2
1952-06,10,5,0,0,0,0,29,1,8.8,33.8,19.83,32.8
1952-07,2,1,0,0,0,0,31,20,12.9,37.1,25.63,6.5
1952-08,2,1,0,0,0,0,31,21,12.1,36,26.55,8.3
1952-09,2,0,0,0,0,0,30,3,7.2,33.2,21.38,1.7
1952-10,3,3,0,0,0,0,26,0,4.6,31,17.28,10.4
1952-11,4,1,0,0,11,0,1,0,-7.6,21.1,6.89,5.1
1952-12,6,1,0,0,23,2,0,0,-7.1,13.8,2.26,16.3
1953-01,12,4,0,0,29,1,0,0,-9.2,8.2,-0.29,33.2
1953-02,7,3,0,0,16,0,0,0,-7.8,13.5,3.13,22.2
1953-03,10,2,0,0,17,0,0,0,-8.3,15.4,3.72,23.3
1953-04,9,5,0,0,1,0,10,0,-0.7,24.3,12.79,40.2
1953-05,13,8,0,0,0,0,27,1,5.2,32.2,18.19,44.5
1953-06,10,5,0,0,0,0,29,0,9.4,31.2,21.64,71.2
1953-07,6,3,0,0,0,0,31,16,12.2,37.1,24.71,29.9
1953-08,2,0,0,0,0,0,31,18,15.9,37.1,27.03,1.8
1953-09,0,0,0,0,0,0,29,7,8.9,35.9,20.86,0
1953-10,3,2,0,0,0,0,16,0,0.5,28.3,14.43,26.4
1953-11,9,7,0,0,12,6,0,0,-13,17.4,3.86,72.9
1953-12,7,1,0,13,31,30,0,0,-27.1,2.8,-11.35,6.9
1954-01,9,3,0,3,31,26,0,0,-20.6,3.6,-7.98,21.9
1954-02,15,2,0,0,28,9,0,0,-14,4.7,-2.88,20.9
1954-03,7,6,1,0,12,0,1,0,-7.7,23.8,4.96,59.9
1954-04,7,5,0,0,0,0,4,0,1.4,23.8,11.24,32.9
1954-05,11,5,0,0,0,0,26,0,5.2,29,17.76,34.5
1954-06,11,6,0,0,0,0,30,0,11.8,31.6,22.18,31.4
1954-07,3,3,0,0,0,0,31,24,16.4,37.1,26.14,13.7
1954-08,2,1,0,0,0,0,31,23,16,38.5,26.94,3.3
1954-09,4,0,0,0,0,0,29,2,7.2,37.3,21.36,3.3
1954-10,2,0,0,0,0,0,25,0,0.1,26.9,15.82,1.9
1954-11,6,1,0,0,5,0,0,0,-0.4,19.5,8.71,9.1
1954-12,8,3,0,0,25,0,0,0,-4.8,10.8,2.06,21.4
1955-01,1,0,0,0,29,0,0,0,-9,12.1,1.86,1.6
1955-02,2,1,0,0,16,0,0,0,-8.8,19.6,5.88,8.7
1955-03,10,4,0,0,6,0,2,0,-4,23.8,8.76,22.2
1955-04,9,4,0,0,0,0,12,0,0.8,27,14.05,21.9
1955-05,13,6,0,0,0,0,23,0,7.1,31.9,18.05,49.7
1955-06,6,2,0,0,0,0,29,9,9.4,36.7,23.27,16.8
1955-07,5,4,0,0,0,0,31,20,14.1,39.7,25.67,27.5
1955-08,2,2,0,0,0,0,31,14,14.3,37.4,25.09,18.5
1955-09,3,2,0,0,0,0,29,1,10,32.7,21.08,21.6
1955-10,3,2,0,0,0,0,25,0,4.2,26.3,16.09,16.5
1955-11,6,3,0,0,7,0,0,0,-1.1,20.6,8.2,37.6
1955-12,6,3,0,0,20,0,0,0,-9.1,13.8,2.31,23.4
1956-01,5,1,0,0,31,0,0,0,-11.4,9.1,-1.35,6.1
1956-02,9,5,0,0,16,1,0,0,-9.8,14.9,2.97,45.9
1956-03,14,7,0,0,22,0,0,0,-8.4,15.5,3.76,62.3
1956-04,11,5,0,0,4,0,4,0,-6.5,23.8,11.03,43.8
1956-05,13,3,0,0,0,0,17,0,3.1,27.3,15.3,47.3
1956-06,2,0,0,0,0,0,30,3,8.1,35.4,21.7,2
1956-07,4,1,0,0,0,0,31,18,13.3,36.4,25.05,12.1
1956-08,1,1,0,0,0,0,31,13,14.4,38.9,25.82,3.1
1956-09,4,3,0,0,0,0,23,2,2.1,33.7,18.1,33.8
1956-10,3,2,0,0,3,0,12,0,-2.3,27,13.02,18.3
1956-11,4,3,0,0,14,0,0,0,-8.3,19.3,5.49,16.5
1956-12,10,7,0,8,30,21,0,0,-21.9,9.9,-6.85,39.5
1957-01,12,5,0,13,31,31,0,0,-26.1,-1.7,-12.09,48.4
1957-02,13,4,0,5,28,16,0,0,-25.1,7,-5.53,27.6
1957-03,8,4,0,0,10,0,0,0,-5.6,19.9,5.64,31
1957-04,4,2,0,0,0,0,9,0,0.2,28.3,14.08,18
1957-05,16,7,0,0,0,0,25,0,5.6,28.9,17.12,55.2
1957-06,11,8,0,0,0,0,28,0,7,32.1,20.9,57.1
1957-07,3,2,0,0,0,0,31,13,8.4,37,24.21,10.6
1957-08,2,0,0,0,0,0,31,12,14.2,39.2,26.34,1.1
1957-09,3,1,0,0,0,0,30,10,12.4,34.5,23.04,6.1
1957-10,2,0,0,0,3,0,13,0,-1.2,28.1,13.88,1.6
1957-11,5,1,0,0,7,0,1,0,-7.6,21.9,8,18.4
1957-12,6,2,0,0,28,0,0,0,-9.8,13,1.65,10.9
1958-01,8,1,0,0,22,1,0,0,-8.2,12,1.72,14.9
1958-02,4,1,0,0,24,0,0,0,-11.4,15.1,2.44,10.1
1958-03,8,1,0,0,7,0,0,0,-3.3,21,8.52,12
