Date/Time, Outside Temperature
12-May-13 16:59:00.000000, 14.2
12-May-13 23:59:00.000000, 11.3
13-May-13 03:35:00.000000, 13.1
13-May-13 11:59:00.000000, 21.7
13-May-13 20:59:00.000000, 15.8
13-May-13 23:59:00.000000, 14.9
14-May-13 07:03:00.000000, 12.8
14-May-13 15:59:00.000000, 15.4
14-May-13 23:59:00.000000, 9.9
15-May-13 02:07:00.000000, 8.8
15-May-13 10:59:00.000000, 22.1
15-May-13 19:35:00.000000, 12.5
15-May-13 23:59:00.000000, 10.8
16-May-13 05:59:00.000000, 14.4
16-May-13 14:39:00.000000, 12.3
16-May-13 23:03:00.000000, 10.1
16-May-13 23:59:00.000000, 10
17-May-13 00:59:00.000000, 10.2
17-May-13 09:43:00.000000, 17.6
17-May-13 18:07:00.000000, 14.3
17-May-13 23:59:00.000000, 11.5
18-May-13 04:47:00.000000, 16.2
18-May-13 13:11:00.000000, 20.6
18-May-13 21:59:00.000000, 14.7
18-May-13 23:59:00.000000, 12.8
19-May-13 08:15:00.000000, 20.4
19-May-13 16:59:00.000000, 15.3
19-May-13 23:59:00.000000, 12.8
20-May-13 03:19:00.000000, 12.7
20-May-13 11:59:00.000000, 19.6
20-May-13 20:47:00.000000, 12
20-May-13 23:59:00.000000, 9.7
21-May-13 06:59:00.000000, 16.4
21-May-13 15:51:00.000000, 18.4
21-May-13 23:59:00.000000, 12.9
22-May-13 01:59:00.000000, 12.7
22-May-13 10:55:00.000000, 22.3
22-May-13 19:19:00.000000, 16.3
22-May-13 23:59:00.000000, 13.2
23-May-13 05:59:00.000000, 19.3
23-May-13 14:23:00.000000, 24.7
23-May-13 22:59:00.000000, 15.8
23-May-13 23:59:00.000000, 15.4
24-May-13 00:59:00.000000, 14.9
24-May-13 09:27:00.000000, 25.8
24-May-13 17:59:00.000000, 21.1
24-May-13 23:59:00.000000, 18.7
25-May-13 04:31:00.000000, 19.9
25-May-13 12:59:00.000000, 26.7
25-May-13 21:59:00.000000, 17.8
25-May-13 23:59:00.000000, 16
26-May-13 07:59:00.000000, 21.2
26-May-13 16:59:00.000000, 20
26-May-13 23:59:00.000000, 16.5
27-May-13 03:03:00.000000, 15.9
27-May-13 11:59:00.000000, 21.5
27-May-13 20:31:00.000000, 17.4
27-May-13 23:59:00.000000, 15.3
