date,value
01-11-15,147
01-11-15,1080
01-11-15,116
01-11-15,64
01-11-15,39
01-11-15,185
01-11-15,48
01-11-15,149
01-11-15,220
01-11-15,3063
01-11-15,147
01-11-15,1080
01-11-15,116
01-11-15,64
01-11-15,39
01-11-15,185
01-11-15,48
01-11-15,149
01-11-15,220
01-11-15,3063
01-11-15,10
01-11-15,147
01-11-15,1080
01-11-15,116
01-11-15,64
01-11-15,39
01-11-15,185
01-11-15,48
01-11-15,149
01-11-15,220
01-11-15,3063
01-11-15,147
01-11-15,1080
01-11-15,116
01-11-15,64
01-11-15,39
01-11-15,185
01-11-15,48
01-11-15,149
01-11-15,220
01-11-15,3063
01-11-15,10
01-11-15,147
01-11-15,1080
01-11-15,116
01-11-15,64
01-11-15,39
01-11-15,185
01-11-15,48
01-11-15,149
01-11-15,220
01-11-15,3063
01-11-15,147
01-11-15,1080
01-11-15,116
01-11-15,64
01-11-15,39
01-11-15,185
01-11-15,48
01-11-15,149
01-11-15,220
01-11-15,3063
01-11-15,10
01-11-15,147
01-11-15,1080
01-11-15,116
01-11-15,64
01-11-15,39
01-11-15,185
01-11-15,48
01-11-15,149
01-11-15,220
01-11-15,3063
01-11-15,147
01-11-15,1080
01-11-15,116
01-11-15,64
01-11-15,39
01-11-15,185
01-11-15,48
01-11-15,149
01-11-15,220
01-11-15,3063
01-11-15,10
01-11-15,61
01-11-15,996
01-11-15,33
01-11-15,46
01-11-15,15
01-11-15,127
01-11-15,20
01-11-15,79
01-11-15,74
01-11-15,996
01-10-15,1102
01-10-15,1381
01-10-15,1046
01-10-15,1095
01-10-15,937
01-10-15,1727
01-10-15,652
01-10-15,929
01-10-15,491
01-10-15,1410
01-10-15,1102
01-10-15,1381
01-10-15,1046
01-10-15,1095
01-10-15,937
01-10-15,1727
01-10-15,652
01-10-15,929
01-10-15,491
01-10-15,1410
01-10-15,1102
01-10-15,1381
01-10-15,1046
01-10-15,1095
01-10-15,937
01-10-15,1727
